Epoch,Loss,Precision,Recall,F1
1,1.7133932853315779,0.29343827056948707,0.2807,0.24555776277202632
2,1.842145317576963,0.36918531340656113,0.33599999999999997,0.31844739383125054
3,1.4754514686717488,0.4011028105420297,0.3601,0.33545134158337797
4,1.8907635266047547,0.4105274616111484,0.3387,0.3089189733812695
5,1.833783500991062,0.4431857613926059,0.3834,0.36222259986119326
6,1.9056690010089166,0.4337805925473631,0.34109999999999996,0.32668796227706176
7,1.7425350355970084,0.4562626518316802,0.33330000000000004,0.31067636976910934
8,1.3917671679643095,0.4601645072043139,0.267,0.2170584369436268
9,2.5418405755695055,0.4005769253663116,0.32060000000000005,0.2620452816563188
10,1.5869941007919217,0.4830882755799409,0.2793,0.22153314233418525
11,3.9960899976279833,0.4589999546719212,0.24539999999999998,0.19777017596628316
12,6.135397736008758,0.3475282390208261,0.25860000000000005,0.19961631988260092
13,4.47396133633729,0.3695620893062529,0.2219,0.131268237730349
14,10.677931494725524,0.3929075678842059,0.2434,0.16946213027261656
15,14.559195675410086,0.28242558271979373,0.22549999999999998,0.16566752504003407
16,18.640212299258557,0.21442737285863953,0.15419999999999998,0.073226167854436
17,23.601927835824632,0.2208232967277942,0.17409999999999998,0.10544242982502361
18,31.12604916012317,0.22183303041451152,0.11639999999999999,0.04647004510206234
19,35.616957720824004,0.4582633675535023,0.187,0.1297219101124072
20,41.60766897946523,0.2478570779235434,0.22759999999999997,0.14981589764309636
21,51.953132224781584,0.2681298581919826,0.1589,0.06242110229785554
22,36.13875165637282,0.2559971087320853,0.21150000000000002,0.10091862185404499
23,35.90604631479716,0.2632069976397048,0.18580000000000002,0.09002932635680108
24,17.97733360220288,0.30934108289276485,0.1983,0.09815917553070568
25,17.11238105332271,0.3784289414678208,0.21319999999999997,0.13174887227810905
26,20.87977167935231,0.17212633009099482,0.2565,0.14880245845701295
27,13.854884622104615,0.3105334850015658,0.24600000000000005,0.15244301150479633
28,11.4012129713154,0.4200211355524126,0.2445,0.1724611488351226
29,8.585857521541067,0.41687276008571167,0.2077,0.1117866195804496
30,13.402992496576417,0.34605474498529054,0.24100000000000002,0.17229321056840613
